"ResultId","Id","SubjectId","Partition"
"379","1","48","1"
"399","24","64","1"
"415","40","58","1"
"436","63","78","1"
"442","69","86","1"
"445","72","76","1"
"479","114","90","1"
"485","120","29","1"
"488","123","9","1"
"500","136","86","1"
"501","137","86","1"
"505","141","86","1"
"531","170","77","1"
"546","188","4","1"
"25","247","4","1"
"27","249","4","1"
"50","277","91","1"
"71","308","58","1"
"97","341","48","1"
"99","345","12","1"
"102","348","66","1"
"103","349","29","1"
"109","355","4","1"
"114","360","76","1"
"120","366","58","1"
"126","375","58","1"
"267","396","82","1"
"276","405","12","1"
"279","408","76","1"
"281","410","78","1"
"282","411","7","1"
"300","432","12","1"
"303","436","90","1"
"311","445","4","1"
"330","472","82","1"
"331","473","9","1"
"332","474","27","1"
"333","475","4","1"
"337","479","75","1"
"338","480","75","1"
"340","482","75","1"
"353","499","7","1"
"357","503","9","1"
"360","506","31","1"
"361","507","58","1"
"367","513","31","1"
"375","521","64","1"
"146","695","4","1"
"149","698","82","1"
"172","724","58","1"
"193","748","4","1"
"194","749","29","1"
"198","753","58","1"
"198","754","61","1"
"198","755","75","1"
"200","757","64","1"
"201","758","64","1"
"203","760","90","1"
"205","762","12","1"
"207","764","12","1"
"207","765","86","1"
"208","766","58","1"
"211","769","9","1"
"212","770","9","1"
"226","786","78","1"
"235","797","90","1"
"240","803","4","1"
"241","804","34","1"
"246","809","9","1"
"250","813","4","1"
