Id;Name
1;Академический класс
2;Академический профиль
3;Алгебра
4;Английский язык
5;Английский язык (устный)
6;Английский язык старт
7;Астрономия
8;Безопасность дорожного движения
9;Биология
10;Веб-дизайн и разработка
11;Всеобщая история
12;География
13;Геометрия
14;Глобальные компетенции
15;Грамотность чтения
16;Графический дизайн
17;Демонстрационный вариант
18;Дефектология
19;Естественнонаучная грамотность
20;Естествознание
21;Заместитель по управлению ресурсами
22;Знакомство с МЭШ (Демоверсия)
23;Изобразительное искусство
24;ИКТ-компетентность
25;Инженерный класс
26;Инженерный профиль
27;Информатика и ИКТ
28;Информационная грамотность
29;Искусство (МХК)
30;Испанский язык
31;История
32;История России
33;История России 1 полугодие
34;Итальянский язык
35;"ИТ-решения для бизнеса на платформе ""1С: Предприятие 8"""
36;Кадетский профиль
37;Китайский язык
38;Коммуникация на английском языке
39;Компетенции в сфере безопасности
40;Корпоративная защита от внутренних угроз информационной безопасности
41;Креативное мышление
42;Кузовной ремонт
43;Культурологическая компетентность
44;Литература
45;Литературное чтение
46;Логические действия
47;Логопедия
48;Математика
49;Математика профильная
50;Математическая грамотность
51;Медицинский профиль
52;Межпредметные диагностики
53;Метапредметные
54;Метапредметные умения
55;Метапредметные умения (дошкольное образование)
56;Метапредметные умения (начальное образование)
57;Музыка
58;Немецкий язык
59;Немецкий язык (устный)
60;ОБЖ
61;Обществознание
62;Окраска автомобиля
63;Окружающий мир
64;Основы безопасности жизнедеятельности
65;Педагогический класс
66;Право
67;Правовая грамотность
68;Предпрофессиональная подготовка
69;Программные решения для бизнеса
70;Профессиональные компетенции
71;Профессиональные компетенции воспитателей
72;Профессиональные компетенции педагогов, реализующих АООП
73;Психология
74;Ремонт и обслуживание легковых автомобилей
75;Русский язык
76;Технология
77;Физика
78;Физическая культура
79;Финансовая грамотность
80;Фотография
81;Французcкий язык
82;Французский язык
83;Французский язык (устный)
84;Французский язык старт
85;Функциональная грамотность
86;Химия
87;Читательская грамотность
88;Чтение
89;Школьные диагностики
90;Экология
91;Экономика
92;Электромонтаж
93;Электроника
94;Кадетский класс
95;Ознакомительный тренинг для оценки профессиональных компетенций учителей-дефектологов
96;Ознакомительный тренинг для оценки профессиональных компетенций учителей-логопедов
97;Ознакомительный тренинг для оценки профессиональных компетенций учителей-психологов
